,,,,,,,
Data Point Details,,,,,,,
,,,,,,,
Container,Material,Material Desc,Data Point Desc,Data Point  Value,High Limit,Result,Submitter
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.76,5.34,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.33,9.04,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.17,8.34,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.295,9.04,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.64,5.34,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.035,9.04,PASS,gallarb
26575879-019,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.85,5.34,PASS,gallarb
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.455,5.34,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.71,9.04,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.195,5.34,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.77,5.34,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,4.51,9.04,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.345,8.34,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,6.295,9.04,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,5.015,5.34,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.565,9.04,PASS,chavj11
26575879-020,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.46,5.34,PASS,chavj11
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.37,5.34,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,7.275,9.04,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.44,5.34,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.715,5.34,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.825,9.04,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,2.845,8.34,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.2,9.04,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.235,5.34,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.37,9.04,PASS,gallarb
26575879-021,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.735,5.34,PASS,gallarb
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.36,5.34,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.035,9.04,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.615,5.34,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.82,5.34,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.025,9.04,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.03,8.34,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,6.975,9.04,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,2.385,5.34,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.91,9.04,PASS,avilaa1
26575879-022,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.395,5.34,PASS,avilaa1
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.455,5.34,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.845,9.04,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.01,5.34,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.84,5.34,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.615,9.04,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,7.6,8.34,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.78,9.04,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.98,5.34,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.53,9.04,PASS,chavj11
26575879-023,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.455,5.34,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.12,5.34,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.275,9.04,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.26,5.34,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.09,5.34,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.67,9.04,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,6.44,8.34,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.12,9.04,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.14,5.34,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.245,9.04,PASS,chavj11
26575879-024,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.125,5.34,PASS,chavj11
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.905,5.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.54,9.04,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.59,5.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.465,5.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.025,9.04,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.855,8.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.83,9.04,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.17,5.34,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.11,9.04,PASS,gallarb
26575879-025,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.765,5.34,PASS,gallarb
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.455,5.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.76,9.04,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.39,5.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.55,5.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.55,9.04,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,6.455,8.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.235,9.04,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.78,5.34,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.555,9.04,PASS,chavj11
26575879-026,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.56,5.34,PASS,chavj11
