26586150-078,50550785-01,TOP ASSY ERCP SCOPE,4.675,8.57,1.04,0.74,4.435,3.575,7.355,2.14,4.89,3.455,PASS,gallarb
26586150-079,50550785-01,TOP ASSY ERCP SCOPE,2.895,5.805,0.875,0.635,6.4,4.04,8.09,1.99,4.5,3.995,PASS,gallarb
26586150-080,50550785-01,TOP ASSY ERCP SCOPE,2.115,3.705,1.075,0.925,5.345,3.885,8.455,3.94,6.475,4.565,PASS,gallarb
26596278-002,50550785-01,TOP ASSY ERCP SCOPE,4.045,4.995,1.285,0.545,5.62,3.605,6.17,4.62,4.5,2.12,PASS,gallarb
26596278-003,50550785-01,TOP ASSY ERCP SCOPE,3.12,4.14,1.495,1.2,4.105,5.69,5.675,2.275,5.67,2.345,PASS,gallarb
26596278-004,50550785-01,TOP ASSY ERCP SCOPE,4.55,5.675,1.015,0.98,5.935,4.97,8.11,4.115,3.62,2.89,PASS,gallarb
26596278-005,50550785-01,TOP ASSY ERCP SCOPE,3.18,4.33,0.775,0.875,5.085,4.12,8.1,2.505,4.34,2.345,PASS,gallarb
26596278-006,50550785-01,TOP ASSY ERCP SCOPE,4.015,4.685,0.98,0.67,4.415,5.525,8.295,4.045,4.96,2.14,PASS,gallarb
26596278-007,50550785-01,TOP ASSY ERCP SCOPE,4.21,6.645,0.94,5.925,4.905,5.06,8.635,3.48,6.21,2.925,FAIL,gallarb
26596278-008,50550785-01,TOP ASSY ERCP SCOPE,4.555,6.78,1.16,0.655,6.335,4.55,7.175,2.015,5.655,3.6,PASS,gallarb
26596278-009,50550785-01,TOP ASSY ERCP SCOPE,4.585,6.945,1.29,0.375,6.035,3.63,6.415,4.85,5.195,2.605,PASS,gallarb
26596278-010,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.81,1.235,0.615,4.265,8.12,7.305,3.33,5.085,3.085,PASS,gallarb
26596278-011,50550785-01,TOP ASSY ERCP SCOPE,5.65,4.885,1.255,1.555,3.195,3.39,5.685,2.41,5.085,3.455,FAIL,gallarb
26596278-012,50550785-01,TOP ASSY ERCP SCOPE,3.55,4.16,0.705,0.685,6.04,5.85,8.995,2.135,8.77,2.15,PASS,gallarb
26596278-014,50550785-01,TOP ASSY ERCP SCOPE,4.425,5.81,1.085,0.74,5.065,2.92,8.865,5.32,5.425,3.065,REWORK,gallarb
26596278-015,50550785-01,TOP ASSY ERCP SCOPE,3.465,6.78,5.29,0.595,5.115,8.44,5.755,5.44,7.905,3.455,REWORK,gallarb
26596278-016,50550785-01,TOP ASSY ERCP SCOPE,3.455,5.68,1.76,1.22,7.42,4.015,6.955,4.56,5.615,4.17,PASS,gallarb
